id_case,activity,enabled_time,start_time,end_time,role,resource,wip_wait,wip_start,wip_end,wip_activity,ro_total,ro_single,queue,prefix,attribute_case,attribute_event
1,W_Afhandelen leads,2012-02-13 21:41:51,2012-02-13 21:41:51,2012-02-13 21:44:42,10863.0,10863.0,1,2,2,1,[0.05],1.0,171,['W_Afhandelen leads'],{},{}
0,W_Beoordelen fraude,2012-02-13 21:41:51,2012-02-13 21:41:51,2012-02-13 21:44:42,11304.0,11304.0,2,2,1,1,[0.05],1.0,171,['W_Beoordelen fraude'],{},{}
0,W_Afhandelen leads,2012-02-13 21:44:42,2012-02-13 21:44:42,2012-02-13 21:47:11,NOT_SET,NOT_SET,1,1,1,1,[0.03],1.0,149,"['W_Beoordelen fraude', 'W_Afhandelen leads']",{},{}
2,W_Afhandelen leads,2012-02-13 23:39:54,2012-02-13 23:39:54,2012-02-13 23:42:44,10914.0,10914.0,1,1,1,1,[0.03],1.0,170,['W_Afhandelen leads'],{},{}
2,W_Completeren aanvraag,2012-02-13 23:42:44,2012-02-13 23:42:44,2012-02-13 23:45:15,11009.0,11009.0,1,1,1,1,[0.03],1.0,151,"['W_Afhandelen leads', 'W_Completeren aanvraag']",{},{}
2,W_Nabellen offertes,2012-02-13 23:45:15,2012-02-13 23:45:15,2012-02-13 23:47:09,11049.0,11049.0,1,1,1,1,[0.2],1.0,114,"['W_Afhandelen leads', 'W_Completeren aanvraag', 'W_Nabellen offertes']",{},{}
2,W_Valideren aanvraag,2012-02-13 23:47:09,2012-02-13 23:47:09,2012-02-13 23:49:13,10138.0,10138.0,1,1,1,1,[0.08],1.0,124,"['W_Afhandelen leads', 'W_Completeren aanvraag', 'W_Nabellen offertes', 'W_Valideren aanvraag']",{},{}
3,W_Beoordelen fraude,2012-02-14 00:25:37,2012-02-14 00:25:37,2012-02-14 00:28:26,11304.0,11304.0,1,1,2,1,[0.03],1.0,169,['W_Beoordelen fraude'],{},{}
4,W_Afhandelen leads,2012-02-14 00:26:52,2012-02-14 00:26:52,2012-02-14 00:29:43,10629.0,10629.0,2,2,2,1,[0.08],1.0,171,['W_Afhandelen leads'],{},{}
3,W_Afhandelen leads,2012-02-14 00:28:26,2012-02-14 00:28:26,2012-02-14 00:31:04,10889.0,10889.0,2,2,1,2,[0.03],1.0,158,"['W_Beoordelen fraude', 'W_Afhandelen leads']",{},{}
3,W_Completeren aanvraag,2012-02-14 00:31:04,2012-02-14 00:31:04,2012-02-14 00:33:36,10228.0,10228.0,1,1,2,1,[0.03],1.0,152,"['W_Beoordelen fraude', 'W_Afhandelen leads', 'W_Completeren aanvraag']",{},{}
5,W_Beoordelen fraude,2012-02-14 00:33:00,2012-02-14 00:33:00,2012-02-14 00:35:46,10779.0,10779.0,2,2,2,1,[1.0],1.0,166,['W_Beoordelen fraude'],{},{}
3,W_Completeren aanvraag,2012-02-14 00:33:36,2012-02-14 00:33:36,2012-02-14 00:36:02,10931.0,10931.0,2,2,2,1,[0.03],1.0,146,"['W_Beoordelen fraude', 'W_Afhandelen leads', 'W_Completeren aanvraag', 'W_Completeren aanvraag']",{},{}
5,W_Afhandelen leads,2012-02-14 00:35:46,2012-02-14 00:35:46,2012-02-14 00:38:18,10809.0,10809.0,2,2,3,1,[0.08],1.0,152,"['W_Beoordelen fraude', 'W_Afhandelen leads']",{},{}
3,W_Completeren aanvraag,2012-02-14 00:36:02,2012-02-14 00:36:02,2012-02-14 00:38:23,10889.0,10889.0,2,2,3,1,[0.03],1.0,141,"['W_Beoordelen fraude', 'W_Afhandelen leads', 'W_Completeren aanvraag', 'W_Completeren aanvraag', 'W_Completeren aanvraag']",{},{}
3,W_Completeren aanvraag,2012-02-14 00:38:23,2012-02-14 00:38:23,2012-02-14 00:40:42,10889.0,10889.0,3,3,3,2,[0.05],1.0,139,"['W_Beoordelen fraude', 'W_Afhandelen leads', 'W_Completeren aanvraag', 'W_Completeren aanvraag', 'W_Completeren aanvraag', 'W_Completeren aanvraag']",{},{}
5,W_Completeren aanvraag,2012-02-14 00:38:18,2012-02-14 00:38:18,2012-02-14 00:40:50,11121.0,11121.0,3,3,3,2,[0.05],1.0,152,"['W_Beoordelen fraude', 'W_Afhandelen leads', 'W_Completeren aanvraag']",{},{}
6,W_Afhandelen leads,2012-02-14 00:38:16,2012-02-14 00:38:16,2012-02-14 00:41:05,11079.0,11079.0,3,3,3,2,[0.17],1.0,169,['W_Afhandelen leads'],{},{}
3,W_Nabellen offertes,2012-02-14 00:40:42,2012-02-14 00:40:42,2012-02-14 00:43:17,10609.0,10609.0,3,3,2,1,[0.17],1.0,155,"['W_Beoordelen fraude', 'W_Afhandelen leads', 'W_Completeren aanvraag', 'W_Completeren aanvraag', 'W_Completeren aanvraag', 'W_Completeren aanvraag', 'W_Nabellen offertes']",{},{}
5,W_Completeren aanvraag,2012-02-14 00:40:50,2012-02-14 00:40:50,2012-02-14 00:43:17,11203.0,11203.0,3,3,2,1,[0.03],1.0,147,"['W_Beoordelen fraude', 'W_Afhandelen leads', 'W_Completeren aanvraag', 'W_Completeren aanvraag']",{},{}
5,W_Completeren aanvraag,2012-02-14 00:43:17,2012-02-14 00:43:17,2012-02-14 00:45:40,11189.0,11189.0,2,2,2,1,[0.05],1.0,143,"['W_Beoordelen fraude', 'W_Afhandelen leads', 'W_Completeren aanvraag', 'W_Completeren aanvraag', 'W_Completeren aanvraag']",{},{}
3,W_Valideren aanvraag,2012-02-14 00:43:17,2012-02-14 00:43:17,2012-02-14 00:47:52,11181.0,11181.0,2,2,2,1,[0.05],1.0,275,"['W_Beoordelen fraude', 'W_Afhandelen leads', 'W_Completeren aanvraag', 'W_Completeren aanvraag', 'W_Completeren aanvraag', 'W_Completeren aanvraag', 'W_Nabellen offertes', 'W_Valideren aanvraag']",{},{}
5,W_Nabellen offertes,2012-02-14 00:45:40,2012-02-14 00:45:40,2012-02-14 00:47:59,11309.0,11309.0,2,2,2,1,[0.08],1.0,139,"['W_Beoordelen fraude', 'W_Afhandelen leads', 'W_Completeren aanvraag', 'W_Completeren aanvraag', 'W_Completeren aanvraag', 'W_Nabellen offertes']",{},{}
3,W_Nabellen incomplete dossiers,2012-02-14 00:47:52,2012-02-14 00:47:52,2012-02-14 00:50:15,10228.0,10228.0,2,2,2,1,[0.03],1.0,143,"['W_Beoordelen fraude', 'W_Afhandelen leads', 'W_Completeren aanvraag', 'W_Completeren aanvraag', 'W_Completeren aanvraag', 'W_Completeren aanvraag', 'W_Nabellen offertes', 'W_Valideren aanvraag', 'W_Nabellen incomplete dossiers']",{},{}
5,W_Valideren aanvraag,2012-02-14 00:47:59,2012-02-14 00:47:59,2012-02-14 00:52:19,11179.0,11179.0,2,2,2,1,[0.05],1.0,260,"['W_Beoordelen fraude', 'W_Afhandelen leads', 'W_Completeren aanvraag', 'W_Completeren aanvraag', 'W_Completeren aanvraag', 'W_Nabellen offertes', 'W_Valideren aanvraag']",{},{}
3,W_Valideren aanvraag,2012-02-14 00:50:15,2012-02-14 00:50:15,2012-02-14 00:55:39,11002.0,11002.0,2,2,1,2,[0.05],1.0,324,"['W_Beoordelen fraude', 'W_Afhandelen leads', 'W_Completeren aanvraag', 'W_Completeren aanvraag', 'W_Completeren aanvraag', 'W_Completeren aanvraag', 'W_Nabellen offertes', 'W_Valideren aanvraag', 'W_Nabellen incomplete dossiers', 'W_Valideren aanvraag']",{},{}
7,W_Beoordelen fraude,2012-02-14 01:46:25,2012-02-14 01:46:25,2012-02-14 01:49:14,10809.0,10809.0,1,1,2,1,[0.08],1.0,169,['W_Beoordelen fraude'],{},{}
8,W_Afhandelen leads,2012-02-14 01:46:53,2012-02-14 01:46:53,2012-02-14 01:49:44,11201.0,11201.0,2,2,2,1,[0.03],1.0,171,['W_Afhandelen leads'],{},{}
7,W_Afhandelen leads,2012-02-14 01:49:14,2012-02-14 01:49:14,2012-02-14 01:51:51,10932.0,10932.0,2,2,2,2,[0.05],1.0,157,"['W_Beoordelen fraude', 'W_Afhandelen leads']",{},{}
8,W_Completeren aanvraag,2012-02-14 01:49:44,2012-02-14 01:49:44,2012-02-14 01:52:20,11181.0,11181.0,2,2,2,1,[0.05],1.0,156,"['W_Afhandelen leads', 'W_Completeren aanvraag']",{},{}
7,W_Completeren aanvraag,2012-02-14 01:51:51,2012-02-14 01:51:51,2012-02-14 01:54:23,10913.0,10913.0,2,2,2,2,[0.05],1.0,152,"['W_Beoordelen fraude', 'W_Afhandelen leads', 'W_Completeren aanvraag']",{},{}
7,W_Completeren aanvraag,2012-02-14 01:54:23,2012-02-14 01:54:23,2012-02-14 01:56:47,11179.0,11179.0,2,2,2,1,[0.03],1.0,144,"['W_Beoordelen fraude', 'W_Afhandelen leads', 'W_Completeren aanvraag', 'W_Completeren aanvraag']",{},{}
7,W_Nabellen offertes,2012-02-14 01:56:47,2012-02-14 01:56:47,2012-02-14 02:00:03,10899.0,10899.0,2,2,2,2,[0.2],1.0,196,"['W_Beoordelen fraude', 'W_Afhandelen leads', 'W_Completeren aanvraag', 'W_Completeren aanvraag', 'W_Nabellen offertes']",{},{}
8,W_Nabellen offertes,2012-02-14 01:52:20,2012-02-14 01:52:20,2012-02-14 02:00:34,10935.0,10935.0,2,2,2,1,[1.0],1.0,494,"['W_Afhandelen leads', 'W_Completeren aanvraag', 'W_Nabellen offertes']",{},{}
9,W_Completeren aanvraag,2012-02-14 02:01:36,2012-02-14 02:01:36,2012-02-14 02:04:25,10910.0,10910.0,3,3,3,1,[0.05],1.0,169,['W_Completeren aanvraag'],{},{}
7,W_Valideren aanvraag,2012-02-14 02:00:03,2012-02-14 02:00:03,2012-02-14 02:04:26,10809.0,10809.0,2,2,3,1,[0.08],1.0,263,"['W_Beoordelen fraude', 'W_Afhandelen leads', 'W_Completeren aanvraag', 'W_Completeren aanvraag', 'W_Nabellen offertes', 'W_Valideren aanvraag']",{},{}
